ActivityHour,ActivityDay,Id,Calories
00:00,2016-04-12,1503960366,81
01:00,2016-04-12,1503960366,61
02:00,2016-04-12,1503960366,59
03:00,2016-04-12,1503960366,47
04:00,2016-04-12,1503960366,48
05:00,2016-04-12,1503960366,48
06:00,2016-04-12,1503960366,48
07:00,2016-04-12,1503960366,47
08:00,2016-04-12,1503960366,68
09:00,2016-04-12,1503960366,141
10:00,2016-04-12,1503960366,99
11:00,2016-04-12,1503960366,76
12:00,2016-04-12,1503960366,73
13:00,2016-04-12,1503960366,66
14:00,2016-04-12,1503960366,110
15:00,2016-04-12,1503960366,151
16:00,2016-04-12,1503960366,76
17:00,2016-04-12,1503960366,83
18:00,2016-04-12,1503960366,124
19:00,2016-04-12,1503960366,104
20:00,2016-04-12,1503960366,132
21:00,2016-04-12,1503960366,100
22:00,2016-04-12,1503960366,65
23:00,2016-04-12,1503960366,81
00:00,2016-04-13,1503960366,69
01:00,2016-04-13,1503960366,48
02:00,2016-04-13,1503960366,47
03:00,2016-04-13,1503960366,53
04:00,2016-04-13,1503960366,47
05:00,2016-04-13,1503960366,47
06:00,2016-04-13,1503960366,48
07:00,2016-04-13,1503960366,59
08:00,2016-04-13,1503960366,69
09:00,2016-04-13,1503960366,136
10:00,2016-04-13,1503960366,77
11:00,2016-04-13,1503960366,84
12:00,2016-04-13,1503960366,82
13:00,2016-04-13,1503960366,72
14:00,2016-04-13,1503960366,128
15:00,2016-04-13,1503960366,79
16:00,2016-04-13,1503960366,71
17:00,2016-04-13,1503960366,87
18:00,2016-04-13,1503960366,118
19:00,2016-04-13,1503960366,73
20:00,2016-04-13,1503960366,47
21:00,2016-04-13,1503960366,48
22:00,2016-04-13,1503960366,74
23:00,2016-04-13,1503960366,135
00:00,2016-04-14,1503960366,56
01:00,2016-04-14,1503960366,54
02:00,2016-04-14,1503960366,47
03:00,2016-04-14,1503960366,47
04:00,2016-04-14,1503960366,47
05:00,2016-04-14,1503960366,47
06:00,2016-04-14,1503960366,47
07:00,2016-04-14,1503960366,47
08:00,2016-04-14,1503960366,47
09:00,2016-04-14,1503960366,93
10:00,2016-04-14,1503960366,109
11:00,2016-04-14,1503960366,64
12:00,2016-04-14,1503960366,85
13:00,2016-04-14,1503960366,137
14:00,2016-04-14,1503960366,113
15:00,2016-04-14,1503960366,66
16:00,2016-04-14,1503960366,88
17:00,2016-04-14,1503960366,61
18:00,2016-04-14,1503960366,72
19:00,2016-04-14,1503960366,55
20:00,2016-04-14,1503960366,91
21:00,2016-04-14,1503960366,174
22:00,2016-04-14,1503960366,79
23:00,2016-04-14,1503960366,50
00:00,2016-04-15,1503960366,60
01:00,2016-04-15,1503960366,58
02:00,2016-04-15,1503960366,59
03:00,2016-04-15,1503960366,47
04:00,2016-04-15,1503960366,47
05:00,2016-04-15,1503960366,49
06:00,2016-04-15,1503960366,47
07:00,2016-04-15,1503960366,49
08:00,2016-04-15,1503960366,54
09:00,2016-04-15,1503960366,50
10:00,2016-04-15,1503960366,63
11:00,2016-04-15,1503960366,84
12:00,2016-04-15,1503960366,74
13:00,2016-04-15,1503960366,67
14:00,2016-04-15,1503960366,47
15:00,2016-04-15,1503960366,47
16:00,2016-04-15,1503960366,47
17:00,2016-04-15,1503960366,140
18:00,2016-04-15,1503960366,87
19:00,2016-04-15,1503960366,97
20:00,2016-04-15,1503960366,64
21:00,2016-04-15,1503960366,75
22:00,2016-04-15,1503960366,151
23:00,2016-04-15,1503960366,182
00:00,2016-04-16,1503960366,77
01:00,2016-04-16,1503960366,48
02:00,2016-04-16,1503960366,52
03:00,2016-04-16,1503960366,48
04:00,2016-04-16,1503960366,49
05:00,2016-04-16,1503960366,49
06:00,2016-04-16,1503960366,48
07:00,2016-04-16,1503960366,54
08:00,2016-04-16,1503960366,62
09:00,2016-04-16,1503960366,124
10:00,2016-04-16,1503960366,110
11:00,2016-04-16,1503960366,147
12:00,2016-04-16,1503960366,119
13:00,2016-04-16,1503960366,214
14:00,2016-04-16,1503960366,82
15:00,2016-04-16,1503960366,51
16:00,2016-04-16,1503960366,54
17:00,2016-04-16,1503960366,79
18:00,2016-04-16,1503960366,65
19:00,2016-04-16,1503960366,67
20:00,2016-04-16,1503960366,81
21:00,2016-04-16,1503960366,75
22:00,2016-04-16,1503960366,55
23:00,2016-04-16,1503960366,56
00:00,2016-04-17,1503960366,47
01:00,2016-04-17,1503960366,48
02:00,2016-04-17,1503960366,47
03:00,2016-04-17,1503960366,49
04:00,2016-04-17,1503960366,48
05:00,2016-04-17,1503960366,48
06:00,2016-04-17,1503960366,48
07:00,2016-04-17,1503960366,48
08:00,2016-04-17,1503960366,48
09:00,2016-04-17,1503960366,48
10:00,2016-04-17,1503960366,47
11:00,2016-04-17,1503960366,63
