ActivityHour,ActivityDay,Id,Calories,TotalIntensity,AverageIntensity,StepTotal
00:00,2016-04-12,1503960366,81,20,0.333333,373
01:00,2016-04-12,1503960366,61,8,0.133333,160
02:00,2016-04-12,1503960366,59,7,0.116667,151
03:00,2016-04-12,1503960366,47,0,0.0,0
04:00,2016-04-12,1503960366,48,0,0.0,0
05:00,2016-04-12,1503960366,48,0,0.0,0
06:00,2016-04-12,1503960366,48,0,0.0,0
07:00,2016-04-12,1503960366,47,0,0.0,0
08:00,2016-04-12,1503960366,68,13,0.216667,250
09:00,2016-04-12,1503960366,141,30,0.5,1864
10:00,2016-04-12,1503960366,99,29,0.483333,676
11:00,2016-04-12,1503960366,76,12,0.2,360
12:00,2016-04-12,1503960366,73,11,0.183333,253
13:00,2016-04-12,1503960366,66,6,0.1,221
14:00,2016-04-12,1503960366,110,36,0.6,1166
15:00,2016-04-12,1503960366,151,58,0.966667,2063
16:00,2016-04-12,1503960366,76,13,0.216667,344
17:00,2016-04-12,1503960366,83,16,0.266667,489
18:00,2016-04-12,1503960366,124,29,0.483333,1386
19:00,2016-04-12,1503960366,104,39,0.65,558
20:00,2016-04-12,1503960366,132,41,0.683333,1733
21:00,2016-04-12,1503960366,100,31,0.516667,684
22:00,2016-04-12,1503960366,65,9,0.15,89
23:00,2016-04-12,1503960366,81,21,0.35,338
00:00,2016-04-13,1503960366,69,14,0.233333,144
01:00,2016-04-13,1503960366,48,0,0.0,0
02:00,2016-04-13,1503960366,47,0,0.0,0
03:00,2016-04-13,1503960366,53,4,0.066667,36
04:00,2016-04-13,1503960366,47,0,0.0,0
05:00,2016-04-13,1503960366,47,0,0.0,0
06:00,2016-04-13,1503960366,48,0,0.0,0
07:00,2016-04-13,1503960366,59,8,0.133333,126
08:00,2016-04-13,1503960366,69,12,0.2,275
09:00,2016-04-13,1503960366,136,27,0.45,1679
10:00,2016-04-13,1503960366,77,15,0.25,295
11:00,2016-04-13,1503960366,84,16,0.266667,524
12:00,2016-04-13,1503960366,82,15,0.25,486
13:00,2016-04-13,1503960366,72,10,0.166667,302
14:00,2016-04-13,1503960366,128,46,0.766667,1577
15:00,2016-04-13,1503960366,79,13,0.216667,493
16:00,2016-04-13,1503960366,71,10,0.166667,299
17:00,2016-04-13,1503960366,87,23,0.383333,695
18:00,2016-04-13,1503960366,118,25,0.416667,1343
19:00,2016-04-13,1503960366,73,13,0.216667,258
20:00,2016-04-13,1503960366,47,0,0.0,0
21:00,2016-04-13,1503960366,48,0,0.0,0
22:00,2016-04-13,1503960366,74,11,0.183333,437
23:00,2016-04-13,1503960366,135,56,0.933333,1766
00:00,2016-04-14,1503960366,56,4,0.066667,81
01:00,2016-04-14,1503960366,54,3,0.05,58
02:00,2016-04-14,1503960366,47,0,0.0,0
03:00,2016-04-14,1503960366,47,0,0.0,0
04:00,2016-04-14,1503960366,47,0,0.0,0
05:00,2016-04-14,1503960366,47,0,0.0,0
